,0
0,7.0
1,1.75
2,0.7777777777777777
3,0.4375
4,0.28
5,0.19444444444444442
6,0.14285714285714285
7,0.109375
8,0.08641975308641975
9,0.07
10,0.05785123966942149
11,0.048611111111111105
12,0.04142011834319527
13,0.03571428571428571
14,0.03111111111111111
15,0.02734375
16,0.02422145328719723
17,0.021604938271604937
18,0.01939058171745152
19,0.0175
20,0.015873015873015872
21,0.014462809917355372
22,0.01323251417769376
23,0.012152777777777776
24,0.0112
25,0.010355029585798817
26,0.009602194787379972
27,0.008928571428571428
28,0.008323424494649227
29,0.0077777777777777776
30,0.0072840790842872
31,0.0068359375
32,0.00642791551882461
33,0.006055363321799308
34,0.005714285714285713
35,0.005401234567901234
36,0.005113221329437546
37,0.00484764542936288
38,0.0046022353714661405
39,0.004375
40,0.004164187983343249
41,0.003968253968253968
42,0.003785830178474851
43,0.003615702479338843
44,0.0034567901234567903
45,0.00330812854442344
46,0.003168854685377999
47,0.003038194444444444
48,0.0029154518950437313
49,0.0028
50,0.002691272587466359
51,0.0025887573964497044
52,0.0024919900320398715
53,0.002400548696844993
54,0.002314049586776859
55,0.002232142857142857
56,0.0021545090797168358
57,0.002080856123662307
58,0.002010916403332376
59,0.0019444444444444444
60,0.0018812147272238649
61,0.0018210197710718
62,0.001763668430335097
63,0.001708984375
64,0.0016568047337278107
65,0.0016069788797061526
66,0.0015593673423925148
67,0.001513840830449827
68,0.0014702793530770848
69,0.0014285714285714284
70,0.0013886133703630231
71,0.0013503086419753086
72,0.0013135672734096453
73,0.0012783053323593865
74,0.0012444444444444447
75,0.00121191135734072
76,0.001180637544273908
77,0.0011505588428665351
78,0.0011216151257811247
79,0.00109375
80,0.001066910531931108
81,0.0010410469958358121
82,0.0010161126433444623
83,0.000992063492063492
84,0.0009688581314878891
85,0.0009464575446187127
86,0.0009248249438499141
87,0.0009039256198347108
88,0.0008837268021714429
89,0.0008641975308641976
90,0.0008453085376162301
91,0.00082703213610586
92,0.0008093421204763558
93,0.0007922136713444998
94,0.0007756232686980609
95,0.000759548611111111
96,0.0007439685407588479
97,0.0007288629737609328
98,0.0007142128354249567
99,0.0007
100,0.0006862072345848447
101,0.0006728181468665898
102,0.000659817136393628
103,0.0006471893491124261
104,0.000634920634920635
105,0.0006229975080099679
106,0.000611407109791248
107,0.0006001371742112482
108,0.000589175995286592
109,0.0005785123966942148
110,0.0005681357032708384
111,0.0005580357142857143
112,0.0005482026783616571
113,0.0005386272699292089
114,0.0005293005671077505
115,0.0005202140309155767
116,0.0005113594857184602
117,0.000502729100833094
118,0.0004943153732081067
119,0.0004861111111111111
120,0.00047810941875554955
121,0.0004703036818059662
122,0.0004626875537048054
123,0.00045525494276795
124,0.000448
125,0.0004409171075837742
126,0.00043400086800173595
127,0.00042724609375
128,0.0004206477976083168
129,0.0004142011834319527
130,0.00040790163743371596
131,0.00040174471992653814
132,0.00039572615749901063
133,0.0003898418355981287
134,0.00038408779149519894
135,0.00037846020761245675
136,0.0003729554051894081
137,0.0003675698382692712
138,0.00036230008798716424
139,0.0003571428571428571
140,0.0003520949650419999
141,0.0003471533425907558
142,0.0003423150276297129
143,0.00033757716049382714
144,0.0003329369797859691
145,0.0003283918183524113
146,0.0003239390994493035
147,0.00031957633308984663
148,0.0003153011125624972
149,0.0003111111111111112
150,0.0003070040787684751
151,0.00030297783933518
152,0.00029903028749626214
153,0.000295159386068477
154,0.00029136316337148805
155,0.0002876397107166338
156,0.00028398718000730255
157,0.0002804037814452812
158,0.00027688778133776355
159,0.0002734375
160,0.0002700513097488522
161,0.000266727632982777
162,0.00026346494034400994
163,0.00026026174895895304
164,0.0002571166207529844
165,0.0002540281608361156
166,0.00025099501595611176
167,0.000248015873015873
168,0.000245089457652043
169,0.00024221453287197228
170,0.00023938989774631507
171,0.00023661438615467817
172,0.0002338868655818771
173,0.00023120623596247853
174,0.00022857142857142857
175,0.0002259814049586777
176,0.00022343515592581953
177,0.00022093170054286073
178,0.00021847008520333323
179,0.0002160493827160494
180,0.00021366869143188546
181,0.00021132713440405752
182,0.0002090238585804294
183,0.000206758034026465
184,0.00020452885317750184
185,0.00020233553011908895
186,0.00020017729989419198
187,0.00019805341783612495
188,0.0001959631589261219
189,0.00019390581717451522
190,0.00019188070502453334
191,0.00018988715277777775
192,0.00018792450804048431
193,0.00018599213518971197
194,0.00018408941485864564
195,0.0001822157434402332
196,0.00018037053260841555
197,0.00017855320885623918
198,0.00017676321305017548
199,0.000175
200,0.00017326303804361277
201,0.00017155180864621117
202,0.00016986580601324955
203,0.00016820453671664745
204,0.00016656751933372994
205,0.000164954284098407
206,0.0001633643725641205
207,0.00016179733727810652
208,0.0001602527414665415
209,0.00015873015873015876
210,0.00015722917274993826
211,0.00015574937700249197
212,0.00015429037448478036
213,0.000152851777447812
214,0.00015143320713899405
215,0.00015003429355281206
216,0.00014865467518953472
217,0.000147293998821648
218,0.00014595191926773833
219,0.0001446280991735537
220,0.00014332220879998366
221,0.0001420339258177096
222,0.0001407629351082869
223,0.00013950892857142856
224,0.0001382716049382716
225,0.00013705066959041428
226,0.00013584583438452138
227,0.00013465681748230224
