"consdummy","capital_intensity","failure","labour_product","fin_cons","inv","ICR_failure","NEG_VA","real_SA","Z_score","misallocated_fixed","profitability","area","dummy_patents","dummy_trademark","financial_sustainability","car","liquidity_return","pension_tax_debts"
"0",8747.6669921875,"Failed",53472,0.183683812618256,27780,"1","0",-8.5100269317627,2.21040225028992,"0","0","center","0","0",0.00709074176847935,0.589470565319061,0.0808467194437981,8.0395424447488e-05
"1",373411.59375,"Failed",123995.1015625,0.13826034963131,3156624,"0","0",-13.4429559707642,1.12358379364014,"0","0","center","0","0",0.0121036041527987,0.252539187669754,0.0515231527388096,2.8959061637579e-07
"0",52153,"Failed",16982,1,599,"1","0",-9.38396644592285,0.582416534423828,"1","1","center","0","0",0.028057374060154,-0.0468219518661499,-0.158634349703789,8.24418111733394e-06
"0",2999.72729492188,"Non-failed",28486.455078125,0.0512561984360218,3356,"0","0",-10.0638465881348,1.20951950550079,"0","0","center","0","0",0.00140415655914694,0.0545605346560478,0.0127228144556284,0.00040330842602998
"0",6781,"Failed",-13797.3330078125,1,7746,"1","1",-9.55908870697021,0.386194586753845,"1","1","north","0","0",0.0306204613298178,-0.229472666978836,-0.388857692480087,2.71815442829393e-05
"0",476721.96875,"Failed",146158.140625,0.135004386305809,4623282,"0","0",-13.1493272781372,0.772958695888519,"0","0","north","0","1",0.0197613518685102,0.216846570372581,0.0733462497591972,7.7683653216809e-06
"0",6362.7998046875,"Failed",28191.400390625,0.549687504768372,1771,"0","0",-10.8511438369751,1.00361895561218,"1","0","center","0","0",0.0647594407200813,0.0633180662989616,0.0106902504339814,9.78168100118637e-06
"0",926785,"Non-failed",581354,1.21243610919919e-05,13246,"0","0",-10.8511924743652,2.38970994949341,"0","0","north","0","0",1.1440706657595e-06,0.923069298267365,0.118646591901779,1.26641296560592e-07
"0",20743.5,"Non-failed",33809.25,0.0686108991503716,177610,"0","0",-9.80242919921875,1.24983263015747,"0","0","north","0","0",0.00362324225716293,0.178752541542053,0.0453504510223866,0.000266120187006891
"0",28679.5,"Non-failed",36309.5,0.38235142827034,-21987,"1","0",-11.1098480224609,0.259821623563766,"0","0","island","0","0",0.0854838266968727,0.116558715701103,0.0121390167623758,5.11702694439009e-07
"0",9340.1337890625,"Failed",40029.19921875,0.173458352684975,9072,"0","0",-11.6951837539673,1.76027965545654,"0","0","north","0","0",0.00429215980693698,0.0670688897371292,0.0280790496617556,3.27911402564496e-05
"0",90387.625,"Failed",43185.5,0.0293462462723255,217000,"0","0",-10.9024600982666,0.644209682941437,"0","0","south","0","0",0.000670091598294675,19.222074508667,-0.00652777263894677,2.47804400714813e-05
"0",85986.890625,"Failed",128172,0.276489049196243,-226333,"0","0",-12.4668235778809,1.11719608306885,"0","0","north","0","0",0.00963417533785105,0.155704572796822,0.0124135129153728,5.51328957953956e-05
"0",25789.23828125,"Non-failed",86151.5234375,0.00952922087162733,162194,"0","0",-11.5512113571167,2.1430971622467,"0","0","north","0","0",0.00158286443911493,0.485174536705017,0.129064351320267,7.72990315454081e-05
"0",29136.8515625,"Failed",34107.66796875,1,-9657,"1","0",-11.036678314209,0.808200001716614,"0","0","north","0","0",0.0124353114515543,0.0117772305384278,-0.0300010871142149,0.000268964737188071
"0",36574.4296875,"Non-failed",90204.7109375,0.108969509601593,182020,"0","0",-10.5089626312256,1.62847137451172,"0","0","north","0","0",0.00944425165653229,0.131854131817818,0.0884705260396004,2.68546664301539e-05
"0",195806.875,"Failed",34548.125,0.0073757735081017,9651,"0","0",-11.5166015625,1.31398379802704,"0","0","north","0","0",0.000263876892859116,0.839044630527496,0.0384854376316071,8.91829586180393e-06
"0",398.333343505859,"Failed",29164,0.000355239782948047,205,"0","0",-8.39444351196289,1.11201167106628,"0","0","south","0","0",1.04137379821623e-05,0.232037141919136,-0.00120844191405922,0.000446324236690998
"0",7525.0712890625,"Non-failed",64040.5703125,0.00282674608752131,4019,"0","0",-12.1699934005737,2.85455656051636,"0","0","north","0","0",0.00039112739614211,1.22907555103302,0.174932047724724,0
"0",38290.54296875,"Non-failed",50305.2578125,0.071949228644371,161043,"0","0",-11.7393407821655,1.55442237854004,"0","0","north","0","0",0.00623869802802801,0.488625288009644,0.0617706552147865,5.77946266275831e-05
"0",2404,"Failed",31867,1,1,"1","0",-9.9286584854126,0.370036154985428,"0","0","center","0","0",0.0729887634515762,-0.0299820713698864,0.0329493544995785,3.72126924048644e-05
